Nam,ChiSoPhatTrien,DienTichNuoiTrong,SoTauKhaiThacBien,TongSanLuong
1995,108.2,453.6,95700,1584.4
1996,107.4,498.7,97700,1701
1997,101.7,504.1,71500,1730.4
1998,103,524.5,71799,1782
1999,112.6,524.6,73397,2006.8
2000,112.1,641.9,79768,2250.9
2001,108.2,755.2,78978,2435.1
2002,108.7,797.7,81800,2647.9
2003,108,867.6,83122,2859.8
2004,109.9,920.1,85430,3143.2
2005,110.3,952.6,90880,3466.8
2006,107.3,976.5,,3721.6
2007,112.8,1018.8,85758,4199.1
2008,109.6,1052.6,123000,4602
2009,105.8,1044.7,,4870.3
2010,105.6,1052.6,129000,5142.7
2011,105.9,1040.5,128000,5447.4
2012,106.9,1038.9,125000,5820.7
2013,103.4,1046.4,124411,6019.7
2014,105.2,1056.3,,6333.2
2015,103.9,1057.3,,6582.1
2016,104.4,1072.8,109762,6870.7
2017,106.4,1106.8,110950,7313.4
2018,106.2,1126.7,,7769.1
2019,106.4,1147.8,,8270.2
2020,102.7,1130.5,130000,8497.2
